CalfID,SingleTwinST,CrossbredYN,SexMF,D0Fed2TxGrp,Birthdate,OnDate,IceCubeNumber,OnTime,Fed1Time,Fed2Time,OffDate,OffTime
117,S,Y,F,MRB,6/10/2024,6/10/2024,61371948,11:03:00,11:02:00,19:02:00,6/13/2024,10:04:00
80,S,Y,M,CSB,7/1/2024,7/2/2024,61371948,13:36:00,13:35:00,21:35:00,7/5/2024,9:10:00
61,S,Y,F,MCT,7/10/2024,7/10/2024,61371948,13:33:00,13:48:00,21:48:00,7/13/2024,9:00:00
53,S,Y,M,CSB,7/15/2024,7/15/2024,61371948,13:10:00,13:25:00,21:25:00,7/18/2024,10:37:00
11379,S,N,F,CSB,7/23/2024,7/23/2024,61371948,13:27:00,13:48:00,21:45:00,7/26/2024,9:41:00
12,S,Y,F,CSB,7/31/2024,7/31/2024,61371948,11:24:00,11:53:00,19:54:00,8/3/2024,10:06:00
5,S,Y,M,MCT,8/4/2024,8/5/2024,61371948,12:05:00,12:20:00,20:20:00,8/8/2024,10:12:00
120,T,Y,M,CSB,6/10/2024,6/10/2024,61371949,8:01:00,8:00:00,16:02:00,6/13/2024,10:01:00
90,S,Y,M,CSB,6/24/2024,6/25/2024,61371949,9:49:00,9:46:00,17:45:00,6/28/2024,10:14:00
71,S,Y,M,MCB,7/8/2024,7/8/2024,61371949,8:33:00,8:30:00,16:50:00,7/11/2024,11:09:00
44,T,Y,M,CSB,7/17/2024,7/18/2024,61371949,9:50:00,10:08:00,18:08:00,7/21/2024,13:40:00
32,S,Y,M,MRB,7/24/2024,7/24/2024,61371949,14:13:00,14:35:00,22:40:00,7/27/2024,9:40:00
19,S,Y,M,MCB,7/29/2024,7/29/2024,61371949,13:45:00,14:00:00,22:05:00,8/1/2024,7:03:00
11433,S,N,F,CSB,8/7/2024,8/7/2024,61371949,11:22:00,11:40:00,19:36:00,8/10/2024,8:59:00
121,T,Y,F,MCB,6/10/2024,6/10/2024,61371951,8:08:00,8:07:00,16:25:00,6/13/2024,10:02:00
79,S,Y,F,CST,7/1/2024,7/2/2024,61371951,13:52:00,13:51:00,21:56:00,7/5/2024,9:13:00
60,S,Y,F,MRB,7/10/2024,7/10/2024,61371951,14:42:00,15:15:00,23:35:00,7/13/2024,8:54:00
51,S,Y,M,MRB,7/15/2024,7/16/2024,61371951,10:08:00,10:51:00,18:51:00,7/19/2024,9:04:00
38,S,Y,,CST,7/23/2024,7/23/2024,61371951,10:45:00,10:54:00,18:48:00,7/26/2024,9:53:00
15,S,Y,M,CST,7/30/2024,7/31/2024,61371951,10:00:00,10:30:00,18:30:00,8/3/2024,9:59:00
126,S,Y,F,CST,8/7/2024,8/7/2024,61371951,12:58:00,13:28:00,21:26:00,8/10/2024,8:51:00
114,S,Y,F,MCT,6/11/2024,6/11/2024,61371953,12:32:00,12:30:00,20:32:00,6/14/2024,10:59:00
97,S,Y,M,MCT,6/19/2024,6/20/2024,61371953,13:25:00,13:50:00,21:50:00,6/23/2024,9:45:00
92,S,Y,M,MRB,6/24/2024,6/24/2024,61371953,13:51:00,13:48:00,21:48:00,6/27/2024,9:44:00
73,S,Y,F,CST,7/3/2024,7/4/2024,61371953,11:05:00,11:47:00,19:50:00,7/7/2024,8:55:00
64,S,Y,F,MRB,7/8/2024,7/10/2024,61371953,6:50:00,6:46:00,14:45:00,7/13/2024,9:01:00
49,S,Y,F,MRB,7/16/2024,7/16/2024,61371953,10:59:00,11:50:00,20:03:00,7/19/2024,9:21:00
41,S,Y,M,CST,7/22/2024,7/22/2024,61371953,8:45:00,9:32:00,17:25:00,7/25/2024,8:55:00
26,S,Y,M,CST,7/25/2024,7/25/2024,61371953,12:15:00,13:00:00,21:00:00,7/28/2024,9:57:00
11406,S,Y,F,MRB,7/30/2024,7/30/2024,61371953,9:06:00,9:00:00,17:09:00,8/2/2024,8:23:00
2,S,Y,F,CSB,8/4/2024,8/7/2024,61371953,9:35:00,9:45:00,17:43:00,8/10/2024,8:46:00
115,S,Y,F,MCT,6/11/2024,6/11/2024,61371954,11:15:00,11:12:00,19:27:00,6/14/2024,10:57:00
101,S,Y,F,MRB,6/17/2024,6/18/2024,61371954,12:31:00,12:28:00,20:25:00,6/21/2024,9:39:00
94,S,Y,F,MRB,6/24/2024,6/24/2024,61371954,13:01:00,12:58:00,21:06:00,6/27/2024,9:47:00
77,S,Y,M,MCT,7/3/2024,7/3/2024,61371954,10:17:00,10:36:00,18:36:00,7/6/2024,8:46:00
66,S,N,M,CSB,7/8/2024,7/8/2024,61371954,11:15:00,11:12:00,19:15:00,7/11/2024,11:23:00
52,S,Y,M,MCB,7/15/2024,7/15/2024,61371954,14:40:00,14:55:00,23:00:00,7/18/2024,10:31:00
37,S,Y,M,MCT,7/23/2024,7/23/2024,61371954,12:40:00,12:55:00,20:55:00,7/26/2024,9:59:00
23,T,Y,M,CSB,7/29/2024,7/29/2024,61371954,10:35:00,11:05:00,19:01:00,8/1/2024,7:08:00
7,S,Y,M,CST,8/2/2024,8/2/2024,61371954,10:54:00,11:08:00,19:07:00,8/5/2024,7:06:00
119,S,Y,M,MRB,6/10/2024,6/10/2024,61371955,9:17:00,9:15:00,17:17:00,6/13/2024,10:03:00
99,S,Y,M,MRB,6/19/2024,6/19/2024,61371955,9:25:00,9:23:00,17:20:00,6/22/2024,9:47:00
91,S,Y,F,MCB,6/24/2024,6/24/2024,61371955,14:00:00,13:58:00,22:15:00,6/27/2024,9:33:00
75,S,Y,F,MCB,7/3/2024,7/3/2024,61371955,12:10:00,12:48:00,20:40:00,7/6/2024,8:49:00
70,S,Y,F,CSB,7/8/2024,7/8/2024,61371955,9:08:00,9:06:00,17:15:00,7/11/2024,9:08:00
58,S,y,M,MRB,7/11/2024,7/11/2024,61371955,10:04:00,9:57:00,17:50:00,7/15/2024,9:03:00
28,S,Y,F,MCT,7/25/2024,7/25/2024,61371955,9:20:00,9:35:00,17:33:00,7/28/2024,9:53:00
20,S,Y,F,CSB,7/29/2024,7/29/2024,61371955,12:59:00,13:30:00,21:32:00,8/1/2024,7:03:00
112,T,Y,M,MCB,6/2/2024,6/3/2024,61371956,13:44:00,13:40:00,21:40:00,6/6/2024,9:37:00
108,S,Y,M,MCB,6/12/2024,6/13/2024,61371956,9:48:00,9:45:00,17:55:00,6/16/2024,8:45:00
87,S,Y,M,MCT,6/25/2024,6/26/2024,61371956,10:50:00,10:47:00,18:50:00,6/29/2024,9:01:00
59,S,Y,M,CST,7/10/2024,7/10/2024,61371956,15:03:00,15:22:00,23:42:00,7/13/2024,8:50:00
56,S,Y,F,CST,7/15/2024,7/15/2024,61371956,11:30:00,11:40:00,19:56:00,7/18/2024,10:41:00
11375,S,N,F,MCB,7/22/2024,7/22/2024,61371956,15:05:00,15:15:00,23:10:00,7/25/2024,8:40:00
11389,S,Y,F,MRB,7/25/2024,7/25/2024,61371956,12:20:00,12:47:00,20:50:00,7/28/2024,9:44:00
8,S,Y,M,MCB,7/29/2024,8/2/2024,61371956,10:07:00,10:25:00,18:30:00,8/5/2024,7:04:00
11269,S,Y,F,MCB,6/10/2024,6/10/2024,61371957,12:57:00,12:55:00,20:58:00,6/13/2024,10:00:00
102,S,Y,F,MCB,6/17/2024,6/17/2024,61371957,14:21:00,14:20:00,22:15:00,6/20/2024,8:54:00
78,S,Y,F,MCT,7/1/2024,7/3/2024,61371957,9:10:00,9:07:00,17:47:00,7/6/2024,8:40:00
69,S,N,M,CST,7/8/2024,7/8/2024,61371957,9:30:00,9:28:00,17:30:00,7/11/2024,11:16:00
55,S,Y,F,MCT,7/15/2024,7/15/2024,61371957,12:18:00,12:34:00,20:48:00,7/18/2024,10:41:00
27,S,Y,F,MCB,7/25/2024,7/25/2024,61371957,12:15:00,12:30:00,20:35:00,7/28/2024,9:55:00
11,S,Y,M,MCB,7/31/2024,7/31/2024,61371957,13:01:00,13:15:00,21:10:00,8/3/2024,10:07:00
11429,S,N,F,MCB,8/4/2024,8/6/2024,61371957,12:05:00,12:30:00,21:42:00,8/9/2024,10:34:00
113,S,Y,F,CSB,6/11/2024,6/11/2024,61371958,14:28:00,14:25:00,22:25:00,6/14/2024,11:01:00
103,S,Y,M,CSB,6/17/2024,6/17/2024,61371958,14:16:00,14:15:00,22:02:00,6/20/2024,8:50:00
85,S,Y,M,MCB,6/26/2024,6/26/2024,61371958,13:43:00,13:58:00,22:00:00,6/29/2024,8:56:00
84,S,Y,M,MRB,7/1/2024,7/1/2024,61371958,11:00:00,11:22:00,19:25:00,7/4/2024,8:50:00
11331,S,Y,F,MCB,7/8/2024,7/8/2024,61371958,13:00:00,12:55:00,20:55:00,7/11/2024,9:11:00
57,S,y,M,MCB,7/11/2024,7/11/2024,61371958,10:58:00,10:53:00,18:55:00,7/15/2024,9:00:00
43,S,Y,F,MCB,7/17/2024,7/18/2024,61371958,12:30:00,13:00:00,21:00:00,7/21/2024,13:45:00
34,S,Y,F,MRB,7/24/2024,7/24/2024,61371958,7:56:00,8:19:00,16:20:00,7/27/2024,9:32:00
17,S,Y,F,MRB,7/30/2024,7/30/2024,61371958,9:32:00,9:40:00,17:45:00,8/2/2024,9:08:00
109,S,Y,M,MRB,6/11/2024,6/13/2024,61371959,9:38:00,9:36:00,17:36:00,6/16/2024,8:44:00
11341,S,N,F,MCB,7/10/2024,7/10/2024,61371959,14:30:00,15:10:00,23:12:00,7/13/2024,9:20:00
11358,S,N,F,CSB,7/15/2024,7/15/2024,61371959,10:35:00,10:50:00,18:56:00,7/18/2024,10:28:00
35,S,Y,F,MCB,7/24/2024,7/24/2024,61371959,7:52:00,7:48:00,15:50:00,7/27/2024,9:29:00
13,S,Y,F,MCT,7/31/2024,7/31/2024,61371959,11:20:00,11:36:00,19:36:00,8/3/2024,10:01:00
116,S,Y,F,CSB,6/10/2024,6/10/2024,61371960,13:45:00,13:42:00,21:42:00,6/13/2024,10:05:00
98,S,Y,M,CST,6/19/2024,6/20/2024,61371960,12:46:00,12:45:00,20:54:00,6/23/2024,9:43:00
93,S,Y,M,CST,6/24/2024,6/24/2024,61371960,13:05:00,13:03:00,21:04:00,6/27/2024,9:36:00
11339,S,N,F,CST,7/10/2024,7/10/2024,61371960,10:57:00,10:54:00,18:55:00,7/13/2024,9:15:00
48,S,N,M,MCB,7/16/2024,7/16/2024,61371960,11:25:00,12:22:00,20:32:00,7/19/2024,9:10:00
11387,S,Y,F,MCT,7/25/2024,7/25/2024,61371960,9:10:00,10:01:00,18:02:00,7/28/2024,9:38:00
11407,S,N,F,MCB,7/30/2024,7/30/2024,61371960,13:30:00,13:40:00,21:45:00,8/2/2024,9:12:00
122,T,Y,M,MCT,6/2/2024,6/6/2024,61371963,9:15:00,9:00:00,17:10:00,6/9/2024,8:52:00
105,S,Y,M,MCT,6/17/2024,6/17/2024,61371963,9:56:00,9:54:00,17:55:00,6/20/2024,8:52:00
89,T,Y,M,CSB,6/24/2024,6/24/2024,61371963,10:20:00,10:15:00,18:28:00,6/27/2024,9:40:00
83,S,Y,M,CST,7/1/2024,7/1/2024,61371963,11:58:00,12:10:00,20:05:00,7/4/2024,8:51:00
65,S,Y,F,CST,7/8/2024,7/9/2024,61371963,12:08:00,12:05:00,20:00:00,7/12/2024,9:28:00
45,T,Y,M,MCT,7/16/2024,7/18/2024,61371963,8:40:00,8:45:00,16:45:00,7/21/2024,13:35:00
30,S,Y,M,CSB,7/25/2024,7/25/2024,61371963,6:33:00,7:10:00,15:15:00,7/28/2024,9:52:00
14,S,Y,M,MCT,7/30/2024,7/31/2024,61371963,10:45:00,10:50:00,18:50:00,8/3/2024,9:54:00
6,S,Y,F,MCT,8/4/2024,8/5/2024,61371963,8:37:00,9:00:00,17:01:00,8/8/2024,10:11:00
125,S,Y,M,MRB,6/2/2024,6/3/2024,61371964,10:56:00,11:40:00,20:00:00,6/6/2024,9:37:00
107,S,Y,M,CSB,6/12/2024,6/13/2024,61371964,10:38:00,10:36:00,18:36:00,6/16/2024,8:52:00
100,S,N,M,CST,6/17/2024,6/19/2024,61371964,7:55:00,7:54:00,16:10:00,6/22/2024,9:34:00
11340,S,N,F,CSB,7/10/2024,7/10/2024,61371964,14:00:00,14:20:00,22:20:00,7/13/2024,9:16:00
42,S,Y,F,MRB,7/22/2024,7/22/2024,61371964,7:26:00,8:30:00,16:18:00,7/25/2024,8:50:00
25,S,Y,F,MRB,7/25/2024,7/29/2024,61371964,7:46:00,8:45:00,16:45:00,8/1/2024,7:12:00
10,S,Y,F,MRB,8/1/2024,8/1/2024,61371964,12:45:00,12:55:00,20:55:00,8/4/2024,10:14:00
1,S,Y,F,MCB,8/7/2024,8/7/2024,61371964,10:28:00,11:00:00,18:55:00,8/10/2024,8:50:00
104,S,Y,M,CSB,6/2/2024,6/5/2024,61371965,13:09:00,13:03:00,21:05:00,6/8/2024,9:08:00
106,S,Y,M,CST,6/12/2024,6/13/2024,61371965,13:42:00,13:40:00,21:40:00,6/16/2024,8:53:00
11284,S,N,F,MCT,6/17/2024,6/17/2024,61371965,11:31:00,11:28:00,19:30:00,6/20/2024,8:55:00
95,S,Y,M,MCB,6/24/2024,6/24/2024,61371965,11:46:00,11:45:00,20:05:00,6/27/2024,9:41:00
76,S,Y,F,CSB,7/3/2024,7/3/2024,61371965,10:53:00,11:20:00,19:20:00,7/6/2024,8:44:00
68,S,Y,F,MCT,7/8/2024,7/8/2024,61371965,10:14:00,10:12:00,18:22:00,7/11/2024,11:17:00
47,S,Y,F,CST,7/16/2024,7/16/2024,61371965,13:48:00,14:22:00,22:22:00,7/19/2024,9:17:00
40,S,Y,M,MRB,7/22/2024,7/22/2024,61371965,14:16:00,14:30:00,22:30:00,7/25/2024,8:45:00
11388,S,Y,F,CSB,7/25/2024,7/25/2024,61371965,11:30:00,11:45:00,19:45:00,7/28/2024,9:42:00
21,S,Y,M,MCT,7/29/2024,7/29/2024,61371965,12:54:00,13:17:00,21:18:00,8/1/2024,7:09:00
11413,S,N,F,CST,8/1/2024,8/2/2024,61371965,7:17:00,7:38:00,15:45:00,8/5/2024,7:00:00
128,S,N,M,MRB,8/7/2024,8/7/2024,61371965,15:10:00,15:16:00,23:09:00,8/10/2024,8:56:00
124,S,Y,M,CST,6/3/2024,6/5/2024,61371966,14:50:00,14:45:00,22:45:00,6/8/2024,9:13:00
111,S,Y,F,MRB,6/12/2024,6/12/2024,61371966,13:15:00,13:10:00,21:10:00,6/15/2024,9:28:00
11290,S,N,F,CSB,6/19/2024,6/20/2024,61371966,10:40:00,10:39:00,18:36:00,6/23/2024,9:39:00
88,S,Y,F,CST,6/25/2024,6/25/2024,61371966,11:08:00,11:05:00,19:00:00,6/28/2024,10:17:00
72,S,Y,M,MRB,7/3/2024,7/4/2024,61371966,11:50:00,12:05:00,20:05:00,7/7/2024,8:57:00
62,S,Y,M,MCT,7/10/2024,7/10/2024,61371966,12:22:00,12:55:00,20:55:00,7/13/2024,8:56:00
11361,S,Y,F,CSB,7/16/2024,7/16/2024,61371966,13:20:00,13:30:00,21:30:00,7/19/2024,9:19:00
36,S,Y,M,MCT,7/23/2024,7/23/2024,61371966,12:46:00,13:00:00,21:10:00,7/26/2024,10:02:00
24,S,Y,F,MCB,7/29/2024,7/29/2024,61371966,8:40:00,9:25:00,17:30:00,8/1/2024,7:12:00
11414,S,N,F,CSB,8/1/2024,8/2/2024,61371966,10:44:00,11:00:00,19:00:00,8/5/2024,6:57:00
118,S,Y,F,CST,6/10/2024,6/10/2024,61371967,10:26:00,10:25:00,18:28:00,6/13/2024,10:04:00
81,S,Y,F,MCB,7/1/2024,7/2/2024,61371967,13:06:00,13:05:00,21:09:00,7/5/2024,9:02:00
63,T,Y,F,MCB,7/10/2024,7/10/2024,61371967,8:08:00,8:05:00,16:15:00,7/13/2024,9:04:00
46,S,Y,F,MCT,7/16/2024,7/17/2024,61371967,7:30:00,7:56:00,15:51:00,7/20/2024,9:04:00
33,S,Y,M,CST,7/24/2024,7/24/2024,61371967,12:32:00,12:54:00,21:02:00,7/27/2024,9:35:00
11405,S,N,F,MCT,7/29/2024,7/29/2024,61371967,11:45:00,12:05:00,20:05:00,8/1/2024,7:15:00
9,S,N,M,MRB,8/1/2024,8/2/2024,61371967,8:35:00,8:45:00,16:45:00,8/5/2024,7:02:00
127,S,Y,F,MCT,8/7/2024,8/7/2024,61371967,13:45:00,13:50:00,21:50:00,8/10/2024,8:53:00
11275,S,Y,F,MCB,6/11/2024,6/12/2024,61371968,11:35:00,11:30:00,19:37:00,6/15/2024,9:44:00
86,S,N,M,CSB,6/25/2024,6/26/2024,61371968,12:02:00,12:00:00,20:00:00,6/29/2024,8:59:00
82,S,Y,M,MRB,7/1/2024,7/2/2024,61371968,11:00:00,10:57:00,18:57:00,7/5/2024,9:04:00
11333,S,Y,F,MRB,7/8/2024,7/9/2024,61371968,7:24:00,7:22:00,15:30:00,7/12/2024,9:16:00
54,S,Y,M,MCT,7/15/2024,7/15/2024,61371968,12:28:00,12:45:00,21:30:00,7/18/2024,10:36:00
31,S,Y,M,MCB,7/24/2024,7/25/2024,61371968,6:28:00,6:52:00,14:52:00,7/28/2024,9:47:00
18,S,Y,F,CST,7/30/2024,7/30/2024,61371968,9:19:00,9:24:00,17:26:00,8/2/2024,9:05:00
4,S,Y,M,CSB,8/4/2024,8/5/2024,61371968,13:12:00,13:15:00,21:20:00,8/8/2024,10:13:00
123,S,Y,F,MCT,6/6/2024,6/6/2024,61371971,13:37:00,13:30:00,21:35:00,6/9/2024,8:55:00
110,S,N,M,CST,6/12/2024,6/12/2024,61371971,13:16:00,13:15:00,21:25:00,6/15/2024,9:27:00
11289,S,N,F,MCB,6/19/2024,6/19/2024,61371971,9:35:00,9:32:00,17:34:00,6/22/2024,9:26:00
11305,S,N,F,MCT,6/25/2024,6/26/2024,61371971,11:01:00,11:00:00,19:02:00,6/29/2024,8:53:00
74,T,Y,F,MRB,7/3/2024,7/4/2024,61371971,8:33:00,8:38:00,16:36:00,7/7/2024,8:52:00
67,S,Y,M,MCT,7/8/2024,7/8/2024,61371971,11:05:00,11:05:00,19:08:00,7/11/2024,11:21:00
50,S,Y,M,CST,7/15/2024,7/16/2024,61371971,10:40:00,11:40:00,19:41:00,7/19/2024,9:03:00
29,S,Y,,CST,7/25/2024,7/25/2024,61371971,7:58:00,8:24:00,16:28:00,7/28/2024,9:49:00
16,S,Y,M,CSB,7/30/2024,7/31/2024,61371971,9:18:00,9:30:00,17:32:00,8/3/2024,9:53:00
11430,S,N,F,MRB,8/4/2024,8/6/2024,61371971,13:30:00,13:45:00,20:28:00,8/9/2024,10:30:00
11272,S,Y,F,CST,6/11/2024,6/11/2024,61371972,8:24:00,8:20:00,16:20:00,6/14/2024,10:56:00
96,T,Y,M,MCT,6/24/2024,6/24/2024,61371972,10:01:00,9:55:00,18:05:00,6/27/2024,9:36:00
11338,S,Y,F,CSB,7/10/2024,7/10/2024,61371972,9:24:00,9:21:00,17:35:00,7/13/2024,9:11:00
39,S,Y,F,CSB,7/22/2024,7/23/2024,61371972,7:57:00,8:15:00,16:10:00,7/26/2024,9:56:00
22,T,Y,M,CST,7/29/2024,7/29/2024,61371972,10:36:00,11:00:00,18:58:00,8/1/2024,7:09:00
3,S,Y,M,CST,8/4/2024,8/6/2024,61371972,13:55:00,14:00:00,22:00:00,8/9/2024,10:33:00
