CalfID,SingleTwinST,CrossbredYN,Time,IgG,SexMF,BirthWtLbs,CalfSizeLgSm,D0Fed2TxGrp,Result0hrgL
1,S,Y,8hr,35.03,F,96.4,LG,MCB,0
1,S,Y,24hr,41.14,F,96.4,LG,MCB,0
2,S,Y,8hr,37.05,F,96.6,LG,CSB,0
2,S,Y,24hr,45.06,F,96.6,LG,CSB,0
3,S,Y,8hr,33.07,M,93,LG,CST,0
3,S,Y,24hr,33.99,M,93,LG,CST,0
4,S,Y,8hr,34.04,M,99.4,LG,CSB,0
4,S,Y,24hr,39.13,M,99.4,LG,CSB,0
5,S,Y,8hr,32.1,M,73.2,SM,MCT,0
5,S,Y,24hr,42.63,M,73.2,SM,MCT,0
6,S,Y,8hr,35.03,F,101.6,LG,MCT,0
6,S,Y,24hr,36.01,F,101.6,LG,MCT,0
7,S,Y,8hr,18.24,M,103.8,LG,CST,0
7,S,Y,24hr,34.04,M,103.8,LG,CST,0
8,S,Y,8hr,21.42,M,67,SM,MCB,0
8,S,Y,24hr,33.99,M,67,SM,MCB,0
9,S,N,8hr,31.15,M,60,SM,MRB,0
9,S,N,24hr,39.39,M,60,SM,MRB,0
10,S,Y,8hr,38.14,F,91,LG,MRB,0
10,S,Y,24hr,37.29,F,91,LG,MRB,0
11,S,Y,8hr,28.22,M,101.6,LG,MCB,0
11,S,Y,24hr,47.11,M,101.6,LG,MCB,0
12,S,Y,8hr,37.09,F,81,LG,CSB,0
12,S,Y,24hr,23.94,F,81,LG,CSB,0
13,S,Y,8hr,37.09,F,84.4,LG,MCT,0
13,S,Y,24hr,34.23,F,84.4,LG,MCT,0
14,S,Y,8hr,30.11,M,86.4,LG,MCT,0
14,S,Y,24hr,31.28,M,86.4,LG,MCT,0
15,S,Y,8hr,19.5,M,73.4,SM,CST,0
15,S,Y,24hr,36.26,M,73.4,SM,CST,0
16,S,Y,8hr,34.03,M,110.4,LG,CSB,0
16,S,Y,24hr,37.05,M,110.4,LG,CSB,0
17,S,Y,8hr,27.29,F,81.2,LG,MRB,0
17,S,Y,24hr,39.39,F,81.2,LG,MRB,0
18,S,Y,8hr,34.03,F,77.8,SM,CST,0
18,S,Y,24hr,36.26,F,77.8,SM,CST,0
19,S,Y,8hr,33.03,M,84.2,LG,MCB,0
19,S,Y,24hr,47.11,M,84.2,LG,MCB,0
20,S,Y,8hr,33.03,F,80.2,LG,CSB,0
20,S,Y,24hr,39.13,F,80.2,LG,CSB,0
21,S,Y,8hr,35.04,M,91.2,LG,MCT,0
21,S,Y,24hr,42.35,M,91.2,LG,MCT,0
22,T,Y,8hr,28.22,M,84.2,LG,CST,0
22,T,Y,24hr,34.99,M,84.2,LG,CST,0
23,T,Y,8hr,38.14,M,79.8,SM,CSB,0
23,T,Y,24hr,38.34,M,79.8,SM,CSB,0
24,S,Y,8hr,30.11,F,84.2,LG,MCB,0
24,S,Y,24hr,41.27,F,84.2,LG,MCB,0
25,S,Y,8hr,34.03,F,88.6,LG,MRB,0
25,S,Y,24hr,41.21,F,88.6,LG,MRB,0
26,S,Y,8hr,12.41,M,92,LG,CST,0
26,S,Y,24hr,35.03,M,92,LG,CST,0
27,S,Y,8hr,42.44,F,105.5,LG,MCB,0
27,S,Y,24hr,40.15,F,105.5,LG,MCB,0
28,S,Y,8hr,30.85,F,97.6,LG,MCT,0
28,S,Y,24hr,38.07,F,97.6,LG,MCT,0
29,S,Y,8hr,44.47,F,91.6,LG,CST,0
29,S,Y,24hr,39.11,F,91.6,LG,CST,0
30,S,Y,8hr,32.82,M,60.6,SM,CSB,0
30,S,Y,24hr,43.37,M,60.6,SM,CSB,0
31,S,Y,8hr,38.14,M,111.4,LG,MCB,0
31,S,Y,24hr,35.03,M,111.4,LG,MCB,0
32,S,Y,8hr,34.83,M,83,LG,MRB,0
32,S,Y,24hr,41.21,M,83,LG,MRB,0
33,S,Y,8hr,31.83,M,75.2,SM,CST,0
33,S,Y,24hr,45.57,M,75.2,SM,CST,0
34,S,Y,8hr,26.15,F,100.2,LG,MRB,0
34,S,Y,24hr,39.11,F,100.2,LG,MRB,0
35,S,Y,8hr,39,F,75.2,SM,MCB,0
35,S,Y,24hr,41.35,F,75.2,SM,MCB,0
36,S,Y,8hr,18.45,M,100.2,LG,MCT,0
36,S,Y,24hr,39.19,M,100.2,LG,MCT,0
37,S,Y,8hr,31.83,M,75,SM,MCT,0
37,S,Y,24hr,33.03,M,75,SM,MCT,0
38,S,Y,8hr,35.85,,89.6,LG,CST,0
38,S,Y,24hr,43.73,,89.6,LG,CST,0
39,S,Y,8hr,34.83,F,88,LG,CSB,0
39,S,Y,24hr,31.07,F,88,LG,CSB,0
40,S,Y,8hr,39,M,93.4,LG,MRB,0
40,S,Y,24hr,32.2,M,93.4,LG,MRB,0
41,S,Y,8hr,23.48,M,80.6,LG,CST,0
41,S,Y,24hr,46.21,M,80.6,LG,CST,0
42,S,Y,8hr,47.9,F,82.6,LG,MRB,0
42,S,Y,24hr,41.68,F,82.6,LG,MRB,0
43,S,Y,8hr,31.83,F,86,LG,MCB,0
43,S,Y,24hr,36.3,F,86,LG,MCB,0
44,T,Y,8hr,24.82,M,96.3,LG,CSB,0
44,T,Y,24hr,39.49,M,96.3,LG,CSB,0
45,T,Y,8hr,33.24,M,96.2,LG,MCT,0
45,T,Y,24hr,37.35,M,96.2,LG,MCT,0
46,S,Y,8hr,33.24,F,79.6,SM,MCT,0
46,S,Y,24hr,34.23,F,79.6,SM,MCT,0
47,S,Y,8hr,35.24,F,110.2,LG,CST,0
47,S,Y,24hr,42.63,F,110.2,LG,CST,0
48,S,N,8hr,34.23,M,102.2,LG,MCB,0
48,S,N,24hr,48.26,M,102.2,LG,MCB,0
49,S,Y,8hr,23.94,F,83.2,LG,MRB,0
49,S,Y,24hr,31.28,F,83.2,LG,MRB,0
50,S,Y,8hr,26.6,M,91.2,LG,CST,0
50,S,Y,24hr,45.97,M,91.2,LG,CST,0
51,S,Y,8hr,27.52,M,98.4,LG,MRB,0
51,S,Y,24hr,42.63,M,98.4,LG,MRB,0
52,S,Y,8hr,29.38,M,92.8,LG,MCB,0
52,S,Y,24hr,40.58,M,92.8,LG,MCB,0
53,S,Y,8hr,36.26,M,111.4,LG,CSB,0
53,S,Y,24hr,41.54,M,111.4,LG,CSB,0
54,S,Y,8hr,36.26,M,81.5,LG,MCT,0
54,S,Y,24hr,47.11,M,81.5,LG,MCT,0
55,S,Y,8hr,37.29,F,72.6,SM,MCT,0
55,S,Y,24hr,50.6,F,72.6,SM,MCT,0
56,S,Y,8hr,23.94,F,93.4,LG,CST,0
56,S,Y,24hr,52.98,F,93.4,LG,CST,0
57,S,Y,8hr,29.38,M,60.2,SM,MCB,0
57,S,Y,24hr,42.29,M,60.2,SM,MCB,0
58,S,Y,8hr,40.46,M,105.2,LG,MRB,0
58,S,Y,24hr,39.11,M,105.2,LG,MRB,0
59,S,Y,8hr,26.55,M,90.4,LG,CST,0
59,S,Y,24hr,35.98,M,90.4,LG,CST,0
60,S,Y,8hr,42.29,F,78.2,SM,MRB,0
60,S,Y,24hr,43.28,F,78.2,SM,MRB,0
61,S,Y,8hr,46.69,F,98.4,LG,MCT,0
61,S,Y,24hr,35.98,F,98.4,LG,MCT,0
62,S,Y,8hr,23.94,M,64.4,SM,MCT,0
62,S,Y,24hr,42.8,M,64.4,SM,MCT,0
63,T,Y,8hr,33.07,F,74.6,SM,MCB,0
63,T,Y,24hr,42.8,F,74.6,SM,MCB,0
64,S,Y,8hr,36.03,F,94.4,LG,MRB,0
64,S,Y,24hr,28.31,F,94.4,LG,MRB,0
65,S,Y,8hr,35.03,F,81.8,LG,CST,0
65,S,Y,24hr,43.93,F,81.8,LG,CST,0
66,S,N,8hr,39.11,M,93.6,LG,CSB,0
66,S,N,24hr,41.35,M,93.6,LG,CSB,0
67,S,Y,8hr,40.15,M,92.4,LG,MCT,0
67,S,Y,24hr,42.44,M,92.4,LG,MCT,0
68,S,Y,8hr,40.15,F,85,LG,MCT,0
68,S,Y,24hr,46.93,F,85,LG,MCT,0
69,S,N,8hr,38.07,M,98.8,LG,CST,0
69,S,N,24hr,41.14,M,98.8,LG,CST,0
70,S,Y,8hr,38.07,F,79.8,SM,CSB,0
70,S,Y,24hr,41.35,F,79.8,SM,CSB,0
71,S,Y,8hr,34.04,M,98.8,LG,MCB,0
71,S,Y,24hr,46.93,M,98.8,LG,MCB,0
72,S,Y,8hr,42.23,M,81.4,LG,MRB,0
72,S,Y,24hr,39.19,M,81.4,LG,MRB,0
73,S,Y,8hr,41.21,F,97.4,LG,CST,0
73,S,Y,24hr,38.14,F,97.4,LG,CST,0
74,T,Y,8hr,31.15,F,75.3,SM,MRB,0
74,T,Y,24hr,44.66,F,75.3,SM,MRB,0
75,S,Y,8hr,33.99,F,83.8,LG,MCB,0
75,S,Y,24hr,39.19,F,83.8,LG,MCB,0
76,S,Y,8hr,32.1,F,76.6,SM,CSB,0
76,S,Y,24hr,39.19,F,76.6,SM,CSB,0
77,S,Y,8hr,23.09,M,113,LG,MCT,0
77,S,Y,24hr,45.79,M,113,LG,MCT,0
78,S,Y,8hr,26.55,F,73,SM,MCT,0
78,S,Y,24hr,45.79,F,73,SM,MCT,0
79,S,Y,8hr,33.99,F,67,SM,CST,0
79,S,Y,24hr,48.08,F,67,SM,CST,0
80,S,Y,8hr,33.99,M,93.6,LG,CSB,0
80,S,Y,24hr,46.21,M,93.6,LG,CSB,0
81,S,Y,8hr,33.99,F,111.2,LG,MCB,0
81,S,Y,24hr,39.19,F,111.2,LG,MCB,0
82,S,Y,8hr,,M,65.2,SM,MRB,0
82,S,Y,24hr,,M,65.2,SM,MRB,0
83,S,Y,8hr,23.71,M,111.2,LG,CST,0
83,S,Y,24hr,39.19,M,111.2,LG,CST,0
84,S,Y,8hr,39.13,M,87.5,LG,MRB,0
84,S,Y,24hr,39.19,M,87.5,LG,MRB,0
85,S,Y,8hr,26.38,M,90.2,LG,MCB,0
85,S,Y,24hr,39.11,M,90.2,LG,MCB,0
86,S,N,8hr,23.71,M,89.6,LG,CSB,0
86,S,N,24hr,43.37,M,89.6,LG,CSB,0
87,S,Y,8hr,29.14,M,109.4,LG,MCT,0
87,S,Y,24hr,36.03,M,109.4,LG,MCT,0
88,S,Y,8hr,34.99,F,80.2,LG,CST,0
88,S,Y,24hr,45.57,F,80.2,LG,CST,0
89,T,Y,8hr,27.29,M,79.6,SM,CSB,0
89,T,Y,24hr,39.11,M,79.6,SM,CSB,0
90,S,Y,8hr,26.38,M,111.4,LG,CSB,0
90,S,Y,24hr,43.37,M,111.4,LG,CSB,0
91,S,Y,8hr,20.33,F,93.2,LG,MCB,0
91,S,Y,24hr,36.3,F,93.2,LG,MCB,0
92,S,Y,8hr,23.71,M,90.6,LG,MRB,0
92,S,Y,24hr,33.07,M,90.6,LG,MRB,0
93,S,Y,8hr,29.14,M,78.4,SM,CST,0
93,S,Y,24hr,37.05,M,78.4,SM,CST,0
94,S,Y,8hr,32.01,F,83,LG,MRB,0
94,S,Y,24hr,39.11,F,83,LG,MRB,0
95,S,Y,8hr,34.99,M,84.8,LG,MCB,0
95,S,Y,24hr,40.15,M,84.8,LG,MCB,0
96,T,Y,8hr,30.09,M,81.4,LG,MCT,0
96,T,Y,24hr,39.11,M,81.4,LG,MCT,0
97,S,Y,8hr,22,M,75,SM,MCT,0
97,S,Y,24hr,43.37,M,75,SM,MCT,0
98,S,Y,8hr,26.38,M,107.2,LG,CST,0
98,S,Y,24hr,42.29,M,107.2,LG,CST,0
99,S,Y,8hr,38.08,M,87.8,LG,MRB,0
99,S,Y,24hr,40.15,M,87.8,LG,MRB,0
100,S,N,8hr,33.99,M,78.6,SM,CST,0
100,S,N,24hr,43.37,M,78.6,SM,CST,0
101,S,Y,8hr,36.01,F,60.8,SM,MRB,0
101,S,Y,24hr,37.05,F,60.8,SM,MRB,0
102,S,Y,8hr,31.05,F,86,LG,MCB,0
102,S,Y,24hr,40.58,F,86,LG,MCB,0
103,S,Y,8hr,30.09,M,89.9,LG,CSB,0
103,S,Y,24hr,36.03,M,89.9,LG,CSB,0
104,S,Y,8hr,28.36,M,104.8,LG,CSB,0
104,S,Y,24hr,34.04,M,104.8,LG,CSB,0
105,S,Y,8hr,26.38,M,88.4,LG,MCT,0
105,S,Y,24hr,42.29,M,88.4,LG,MCT,0
106,S,Y,8hr,23.71,M,90,LG,CST,0
106,S,Y,24hr,43.37,M,90,LG,CST,0
107,S,Y,8hr,29.14,M,65.4,SM,CSB,0
107,S,Y,24hr,44.46,M,65.4,SM,CSB,0
108,S,Y,8hr,36.01,M,66.2,SM,MCB,0
108,S,Y,24hr,45.57,M,66.2,SM,MCB,0
109,S,Y,8hr,,M,72.2,SM,MRB,0
109,S,Y,24hr,,M,72.2,SM,MRB,0
110,S,N,8hr,29.14,M,74.6,SM,CST,0
110,S,N,24hr,40.15,M,74.6,SM,CST,0
111,S,Y,8hr,32.01,F,77.5,SM,MRB,0
111,S,Y,24hr,40.15,F,77.5,SM,MRB,0
112,T,Y,8hr,23.09,M,89.4,LG,MCB,0
112,T,Y,24hr,35.03,M,89.4,LG,MCB,0
113,S,Y,8hr,29.14,F,70.4,SM,CSB,0
113,S,Y,24hr,40.58,F,70.4,SM,CSB,0
114,S,Y,8hr,29.14,F,93.6,LG,MCT,0
114,S,Y,24hr,37.05,F,93.6,LG,MCT,0
115,S,Y,8hr,31.05,F,111.6,LG,MCT,0
115,S,Y,24hr,47.82,F,111.6,LG,MCT,0
116,S,Y,8hr,35.03,F,85.6,LG,CSB,0
116,S,Y,24hr,33.07,F,85.6,LG,CSB,0
117,S,Y,8hr,33.07,F,83.8,LG,MRB,0
117,S,Y,24hr,39.11,F,83.8,LG,MRB,0
118,S,Y,8hr,41.21,F,92.8,LG,CST,0
118,S,Y,24hr,42.29,F,92.8,LG,CST,0
119,S,Y,8hr,29.27,M,103.4,LG,MRB,0
119,S,Y,24hr,43.37,M,103.4,LG,MRB,0
120,T,Y,8hr,27.45,M,77.8,SM,CSB,0
120,T,Y,24hr,34.99,M,77.8,SM,CSB,0
121,T,Y,8hr,33.07,F,73.1,SM,MCB,0
121,T,Y,24hr,46.82,F,73.1,SM,MCB,0
122,T,Y,8hr,38.07,M,84.2,LG,MCT,0
122,T,Y,24hr,46.82,M,84.2,LG,MCT,0
123,S,Y,8hr,38.07,F,86,LG,MCT,0
123,S,Y,24hr,43.45,F,86,LG,MCT,0
124,S,Y,8hr,38.07,M,90,LG,CST,0
124,S,Y,24hr,32.2,M,90,LG,CST,0
125,S,Y,8hr,28.36,M,91.6,LG,MRB,0
125,S,Y,24hr,41.27,M,91.6,LG,MRB,0
126,S,Y,8hr,32.1,F,85.6,LG,CST,0
126,S,Y,24hr,38.08,F,85.6,LG,CST,0
127,S,Y,8hr,34.04,F,71,SM,MCT,0
127,S,Y,24hr,42.35,F,71,SM,MCT,0
128,S,N,8hr,33.07,M,92.6,LG,MRB,0
128,S,N,24hr,41.27,M,92.6,LG,MRB,0
11269,S,Y,8hr,32.1,F,63.2,SM,MCB,0
11269,S,Y,24hr,30.09,F,63.2,SM,MCB,0
11272,S,Y,8hr,27.29,F,73.4,SM,CST,0
11272,S,Y,24hr,37.04,F,73.4,SM,CST,0
11275,S,Y,8hr,29.14,F,73.8,SM,MCB,0
11275,S,Y,24hr,37.04,F,73.8,SM,MCB,0
11284,S,N,8hr,27.29,F,84.4,LG,MCT,0
11284,S,N,24hr,34.99,F,84.4,LG,MCT,0
11289,S,N,8hr,36.01,F,65.6,SM,MCB,0
11289,S,N,24hr,36.01,F,65.6,SM,MCB,0
11290,S,N,8hr,30.09,F,82,LG,CSB,0
11290,S,N,24hr,37.04,F,82,LG,CSB,0
11305,S,N,8hr,31.05,F,101.4,LG,MCT,0
11305,S,N,24hr,33.21,F,101.4,LG,MCT,0
11331,S,Y,8hr,35.03,F,77.2,SM,MCB,0
11331,S,Y,24hr,32.01,F,77.2,SM,MCB,0
11333,S,Y,8hr,32.1,F,60,SM,MRB,0
11333,S,Y,24hr,34.99,F,60,SM,MRB,0
11338,S,Y,8hr,41.54,F,74,SM,CSB,0
11338,S,Y,24hr,,F,74,SM,CSB,0
11339,S,N,8hr,30.32,F,64.6,SM,CST,0
11339,S,N,24hr,37.04,F,64.6,SM,CST,0
11340,S,N,8hr,40.46,F,75.2,SM,CSB,0
11340,S,N,24hr,41.27,F,75.2,SM,CSB,0
11341,S,N,8hr,38.34,F,69.2,SM,MCB,0
11341,S,N,24hr,21.16,F,69.2,SM,MCB,0
11358,S,N,8hr,33.24,F,75.6,SM,CSB,0
11358,S,N,24hr,32.01,F,75.6,SM,CSB,0
11361,S,Y,8hr,33.24,F,64.8,SM,CSB,0
11361,S,Y,24hr,36.01,F,64.8,SM,CSB,0
11375,S,N,8hr,29.89,F,60,SM,MCB,0
11375,S,N,24hr,42.35,F,60,SM,MCB,0
11379,S,N,8hr,33.82,F,88.2,LG,CSB,0
11379,S,N,24hr,36.01,F,88.2,LG,CSB,0
11387,S,Y,8hr,32.82,F,70,SM,MCT,0
11387,S,Y,24hr,38.42,F,70,SM,MCT,0
11388,S,Y,8hr,23.48,F,70.6,SM,CSB,0
11388,S,Y,24hr,31.05,F,70.6,SM,CSB,0
11389,S,Y,8hr,22.61,F,70.4,SM,MRB,0
11389,S,Y,24hr,33.99,F,70.4,SM,MRB,0
11405,S,N,8hr,24.59,F,75.2,SM,MCT,0
11405,S,N,24hr,26.38,F,75.2,SM,MCT,0
11406,S,Y,8hr,28.22,F,68.4,SM,MRB,0
11406,S,Y,24hr,36.01,F,68.4,SM,MRB,0
11407,S,N,8hr,34.03,F,60,SM,MCB,0
11407,S,N,24hr,30.09,F,60,SM,MCB,0
11413,S,N,8hr,33.07,F,76.2,SM,CST,0
11413,S,N,24hr,39.13,F,76.2,SM,CST,0
11414,S,N,8hr,34.04,F,73.8,SM,CSB,0
11414,S,N,24hr,44.56,F,73.8,SM,CSB,0
11429,S,N,8hr,33.07,F,83.8,LG,MRB,0
11429,S,N,24hr,28.21,F,83.8,LG,MRB,0
11430,S,N,8hr,24.8,F,91.4,LG,MCB,0
11430,S,N,24hr,30.09,F,91.4,LG,MCB,0
11433,S,N,8hr,27.45,F,71,SM,CSB,0
11433,S,N,24hr,33.99,F,71,SM,CSB,0
